Period,Date,Open,High,Low,Close,Adj Close,Volume,OBV,OBV3DaySlope,OBV4DaySlope,OBV5DaySlope,OBV10DaySlope,AD,AD3DaySlope,AD4DaySlope,AD5DaySlope,AD10DaySlope,PVT,PVT3DaySlope,PVT4DaySlope,PVT5DaySlope,PVT10DaySlope,SlowStochastic,SlowSto1DaySlope,SlowSto1DayPercentSlope,SlowSto3DaySlope,SlowSto4DaySlope,SlowSto5DaySlope,SlowSto10DaySlope,Gain,Loss,14DayAvgGain,14DayAvgLoss,14DayRelativeStrength,14DayRSI,14DayRSI1DaySlope,14DayRSI3DaySlope,14DayRSI4DaySlope,14DayRSI5DaySlope,14DayRSI10DaySlope,VIXOpen,VIXHigh,VIXLow,VIXClose,VIX1DaySlope,VIX1DayPercentSlope,VIX3DaySlope,VIX4DaySlope,VIX5DaySlope,VIX10DaySlope,VIXSlowStochastic,VIXSlowSto1DaySlope,VIXSlowSto3DaySlope,VIXSlowSto4DaySlope,VIXSlowSto5DaySlope,VIXSlowSto10DaySlope,Buy/Sell,B/S/H_LinReg,BuySell
20,9/29/2006,1339.150024,1339.880005,1335.640015,1335.849976,1335.849976,2273430000,16078360000,62195000,1101856000,1624087000,725089393.9,8497362635,-339313905.7,-122120708.6,456753955.1,568879064.7,1857937523,-518362.1241,247926.8513,4374606.779,5207978.21,0,0,1000,0,0,0,0,0,3.030029,3.262740242,1.940360085,1.681512759,62.70761731,-2.721626012,-0.817772293,-0.349252282,0.775113882,9.355528829,11.75,12.1,11.72,11.98,0.26,2.218430034,0.2,0.149,-0.009,-0.01030303,0,0,0,0,0,0,HOLD,-0.077066129,
21,10/2/2006,1335.819946,1338.540039,1330.280029,1331.319946,1331.319946,2154480000,13923880000,-2213955000,-836370000,156259000,775013333.3,6885371174,-1830132249,-892013085.4,-562984560.8,429359604.8,1850631419,-6225559.986,-3017350.099,-1673494.79,4960382.31,0,0,1000,0,0,0,0,0,4.53003,3.029687367,2.125336508,1.425509493,58.7715487,-3.936068616,-3.328847314,-1.943646562,-1.256008465,8.092139004,12.45,12.72,12.11,12.57,0.59,4.924874791,0.425,0.323,0.248,0.019212121,0,0,0,0,0,0,HOLD,-0.342610564,
22,10/3/2006,1331.319946,1338.310059,1327.099976,1334.109985,1334.109985,2682690000,16606570000,264105000,-739014000,-312271000,794123212.1,7557817982,-469772326.8,-1057544453,-689660942.8,323949929.3,1856253516,-842003.624,-2779317.339,-1789258.297,4291838.701,0,0,1000,0,0,0,0,2.790039,0,3.012569627,1.973526757,1.526490389,60.41940217,1.647853468,-1.144107574,-1.89655921,-1.45052141,6.206249687,12.68,12.91,11.97,12.24,-0.33,-2.625298329,0.13,0.215,0.217,0.034484848,0,0,0,0,0,0,HOLD,0.128697508,
23,10/4/2006,1333.810059,1350.199951,1331.47998,1350.199951,1350.199951,3019880000,19626450000,2851285000,1332696000,307753000,1068241758,10577697982,1846163404,691345284.7,-87542003.43,417122878.1,1892674626,21021603.45,10983340.52,5750016.659,6133735.439,0,0,1000,0,0,0,0,16.089966,0,3.946669368,1.83256056,2.153636531,68.29057533,7.871173166,4.759513317,1.839672752,0.343444886,4.017340698,12.64,12.64,11.62,11.86,-0.38,-3.104575163,-0.355,-0.069,0.054,-0.013454545,0,0,0,0,0,0,HOLD,0.766752991,
24,10/5/2006,1349.839966,1353.790039,1347.75,1353.219971,1353.219971,2817240000,22443690000,2918560000,2857931000,1843323000,1235835697,12863147252,2652664635,2095320823,1242389604,479955817,1898976004,21361244.33,18145486.66,12412016.97,6662849.6,0,0,1000,0,0,0,0,3.02002,0,3.880480127,1.701663378,2.280404091,69.51595071,1.225375375,4.548274271,4.010437919,2.313569342,1.067505816,11.94,12.06,11.65,11.98,0.12,1.011804384,-0.13,-0.215,-0.071,-0.003212121,0,0,0,0,0,0,HOLD,0.487479072,
25,10/6/2006,1353.219971,1353.219971,1344.209961,1349.589966,1349.589966,2523000000,19920690000,147120000,1275960000,1783074000,970593757.6,13353185554,1387743786,1967155199,1824095803,484082711.8,1892208071,-233277.3659,11416504.45,12587579.3,5507637.793,0,0,1000,0,0,0,0,0,3.630005,3.603302975,1.839402065,1.958953425,66.20426697,-3.311683736,-1.04315418,1.857996979,2.396198509,0.598284605,11.99,12.17,11.55,11.56,-0.42,-3.505843072,-0.15,-0.192,-0.228,0.010060606,0,0,0,0,0,0,HOLD,0.018072673,
26,10/9/2006,1349.579956,1352.689941,1346.550049,1350.660034,1350.660034,1935170000,21855860000,-293915000,416523000,1079282000,844928606.1,14008784145,572818446.4,1078329679,1567741990,542858261.5,1893742436,-2616784.234,-356450.2837,7451128.564,5086634.222,0,0,1000,0,0,0,0,1.070068,0,3.42235762,1.708016203,2.003703252,66.70776318,0.503496204,-1.404093766,-0.806012021,1.049041366,0.449233333,12.07,12.09,11.58,11.68,0.12,1.038062284,-0.15,-0.096,-0.142,0.011030303,0,0,0,0,0,0,HOLD,0.141119099,
27,10/10/2006,1350.619995,1354.22998,1348.599976,1353.420044,1353.420044,2376140000,24232000000,2155655000,730010000,862327000,889828606.1,15701258085,1174036265,916993108.8,1139275710,776980429.6,1898597966,3194947.4,40024.91673,661311.1668,5600244.568,0,0,1000,0,0,0,0,2.76001,0,3.375047075,1.586015046,2.12800445,68.03073602,1.322972845,0.913234525,-0.395214786,-0.332786615,0.604396567,11.77,11.89,11.47,11.52,-0.16,-1.369863014,-0.02,-0.126,-0.098,-0.030727273,0,0,0,0,0,0,HOLD,0.343831899,
28,10/11/2006,1353.280029,1353.969971,1343.569946,1349.949951,1349.949951,2521000000,21711000000,-72430000,774707000,284593000,846835575.8,16273326150,1132271003,1045289573,916843032.7,953121813.9,1892134263,-804086.2813,463410.6939,-729358.7262,5307931.821,0,0,1000,0,0,0,0,0,3.470093,3.133972284,1.720592042,1.821449947,64.55723054,-3.473505476,-1.075266316,-0.361813644,-0.809097128,0.53136217,11.75,12.03,11.31,11.62,0.1,0.868055556,-0.03,0.002,-0.076,-0.063575758,0,0,0,0,0,0,HOLD,0.007643509,
29,10/12/2006,1349.939941,1363.76001,1349.939941,1362.829956,1362.829956,2514350000,24225350000,-3325000,458747000,846446000,1031061394,18449257974,1373999945,1389348955,1245668685,1253231759,1916123923,8762978.861,6068076.037,4622353.248,6196092.509,0,0,1000,0,0,0,0,12.880005,0,3.830117478,1.597692611,2.397280586,70.56469212,6.007461577,1.26697805,0.809728136,0.657031767,0.855818153,11.5,11.51,11.09,11.09,-0.53,-4.561101549,-0.215,-0.167,-0.1,-0.116484848,0,0,0,0,0,0,HOLD,0.586075705,
30,10/13/2006,1362.819946,1366.630005,1360.5,1365.619995,1365.619995,2482920000,26708270000,2498635000,994316000,969817000,1127962545,20113981568,1920327709,1541410227,1495839474,1411791790,1921207055,14536395.75,9181692.73,7245519.558,6375587.975,0,0,1000,0,0,0,0,2.790039,0,3.755826158,1.48357171,2.531610796,71.68430901,1.119616891,3.563539234,1.696818055,1.248704777,0.99765455,11.17,11.35,10.75,10.75,-0.34,-3.065825068,-0.435,-0.284,-0.229,-0.162969697,0,0,0,0,0,0,HOLD,0.483727423,
31,10/16/2006,1365.609985,1370.199951,1364.47998,1369.060059,1369.060059,2305920000,29014190000,2394420000,2439249000,1456165000,1078161758,21500841048,1525791537,1734726829,1543982134,1397725103,1927015781,5445928.663,10972768.38,8590842.159,5617946.015,0,0,1000,0,0,0,0,3.440064,0,3.733271719,1.377602302,2.709977845,73.04566114,1.361352129,1.24048451,2.658490868,1.715692871,0.842533559,11.07,11.2,10.91,11.09,0.34,3.162790698,0,-0.193,-0.173,-0.136666667,0,0,0,0,0,0,HOLD,0.442269081,
32,10/17/2006,1369.050049,1369.050049,1356.869995,1364.050049,1364.050049,2519620000,26494570000,-106850000,911358000,1435598000,886860303,21951816689,918917560.5,1189453563,1440856415,1275929664,1917795351,-1705851.616,1082301.027,6221403.384,3806306.956,0,0,1000,0,0,0,0,0,5.01001,3.466609453,1.637059995,2.117582412,67.92386318,-5.121797961,-1.880222916,-0.656113469,0.921423429,0.344879123,11.36,12.03,11.35,11.73,0.64,5.770964833,0.49,0.226,0.022,-0.079515152,0,0,0,0,0,0,HOLD,-0.072040645,
33,10/18/2006,1363.930054,1372.869995,1360.949951,1365.800049,1365.800049,2658840000,29153410000,69610000,481580000,964242000,922057272.7,21456665777,-22087635.47,447902826.8,785265072.8,1153978615,1921206495,-2904643.037,-922210.9442,675343.9273,3862842.605,0,0,1000,0,0,0,0,1.75,0,3.343994492,1.520127138,2.199812376,68.74816763,0.824304449,-2.148746756,-1.393022211,-0.739349481,0.325968462,11.44,11.83,11.33,11.34,-0.39,-3.324808184,0.125,0.241,0.148,-0.062787879,0,0,0,0,0,0,HOLD,0.182049606,
34,10/19/2006,1365.949951,1368.089966,1362.060059,1366.959961,1366.959961,2619830000,31773240000,2639335000,1093599000,1026916000,1172491758,23094583121,571383216,428607530.7,591702783.5,1141865520,1923431397,2818022.946,-734200.6873,-136060.0754,4114987.657,0,0,1000,0,0,0,0,1.159912,0,3.1879886,1.411546628,2.258507467,69.31110301,0.562935377,0.693619913,-1.037936995,-0.904390552,0.413908485,11.51,11.57,10.78,10.9,-0.44,-3.880070547,-0.415,-0.096,0.055,-0.055757576,0,0,0,0,0,0,HOLD,0.328881656,
35,10/20/2006,1366.939941,1368.660034,1362.099976,1368.599976,1368.599976,2526410000,34299650000,2573120000,2603507000,1584959000,1279444970,25574734039,2059034131,1250666939,929055241.3,1173685200,1926462467,2627985.986,2822624.814,452941.7689,3784839.193,0,0,1000,0,0,0,0,1.640015,0,3.077419057,1.310721869,2.347881064,70.13036064,0.819257635,0.691096506,0.718242776,-0.444336117,0.328239375,11.06,11.23,10.44,10.63,-0.27,-2.47706422,-0.355,-0.374,-0.175,-0.078363636,0,0,0,0,0,0,HOLD,0.440886018,
36,10/23/2006,1368.579956,1377.400024,1363.939941,1377.02002,1377.02002,2480430000,36780080000,2503420000,2540642000,2571726000,1476415273,27915109431,2410263155,2185548188,1604465375,1228728311,1941722828,9145715.137,6458006.825,5311092.43,3974160.255,0,0,1000,0,0,0,0,8.420044,0,3.459035124,1.217098878,2.842032957,73.97211291,3.841752267,2.330504951,1.649109347,1.347869247,0.438097788,11.15,11.25,10.62,11.08,0.45,4.233301976,0.09,-0.105,-0.201,-0.057151515,0,0,0,0,0,0,HOLD,0.652362657,
37,10/24/2006,1377.02002,1377.780029,1372.420044,1377.380005,1377.380005,2876890000,39656970000,2678660000,2613162000,2601396000,1807816545,30362585899,2393925930,2414438373,2263236655,1361540216,1942474913,8006223.431,7239090.935,6082826.794,3946625.665,0,0,1000,0,0,0,0,0.359985,0,3.237674401,1.130163244,2.864784727,74.12533761,0.153224706,1.997488486,1.828445609,1.541534987,0.556459378,11.25,11.27,10.78,10.78,-0.3,-2.707581227,0.075,0.009,-0.094,-0.05569697,0,0,0,0,0,0,HOLD,0.497219894,
38,10/25/2006,1377.359985,1383.609985,1376,1382.219971,1382.219971,2953540000,42610510000,2915215000,2780947000,2703186000,1945284000,32237158740,2161024654,2243475057,2307300310,1457026355,1952853337,5565254.726,7992469.728,7485632.632,3522431.621,0,0,1000,0,0,0,0,4.839966,0,3.352123801,1.049437298,3.194210656,76.15761148,2.032273865,1.092749285,1.823497722,1.768799392,0.480231279,10.88,10.88,10.6,10.66,-0.12,-1.113172542,-0.21,-0.021,-0.033,-0.045151515,0,0,0,0,0,0,HOLD,0.596400564,
39,10/26/2006,1382.209961,1389.449951,1379.469971,1389.079956,1389.079956,2793350000,45403860000,2873445000,2882488000,2803885000,2149411939,34823388979,2230401540,2259941148,2281935919,1645140718,1966716788,12120937.4,8536030.555,9163915.28,4717747.728,0,0,1000,0,0,0,0,6.859985,0,3.602685315,0.974477491,3.697043131,78.71001027,2.552398795,2.29233633,1.624596596,1.934479783,0.803111693,10.56,10.96,10.47,10.56,-0.1,-0.938086304,-0.11,-0.168,-0.056,-0.063757576,0,0,0,0,0,0,HOLD,0.665578492,
40,10/27/2006,1388.890015,1388.890015,1375.849976,1377.339966,1377.339966,2458450000,42945410000,167450000,1265867000,1807755000,2128261394,32926757225,344799242.5,1027874422,1448409867,1642309698,1945938878,-3457229.444,2425534.539,3267397.594,4505351.859,87.70808195,87.70808195,1000,43.85404098,26.31242459,17.54161639,4.784077197,0,11.73999,3.34535065,1.74344267,1.918818844,65.73956613,-12.97044415,-5.209022676,-2.260491567,-1.18804209,0.394423333,10.66,10.99,10.53,10.8,0.24,2.272727273,0.07,-0.004,-0.078,-0.085515152,8.888888889,8.888888889,4.444444444,2.666666667,1.777777778,0.484848485,HOLD,0.135332968,
41,10/30/2006,1377.300049,1381.219971,1373.459961,1377.930054,1377.930054,2770440000,45715850000,155995000,685757000,1245266000,2215139939,33348097764,-737645607.7,143618531.8,666062221.4,1599611816,1947125806,-9795491.028,-3796050.268,238732.6618,4445166.24,88.30703508,0.598953123,0.682893879,44.15351754,35.26291872,26.43221521,8.537696299,0.590088,0,3.148546175,1.618911051,1.944854334,66.04246301,0.30289688,-6.333773633,-4.331588956,-2.658379457,0.165070918,11.36,11.43,10.92,11.2,0.4,3.703703704,0.32,0.186,0.098,-0.063393939,18.7654321,9.87654321,9.382716049,6.518518519,4.641975309,1.400673401,HOLD,0.210192106,
42,10/31/2006,1377.930054,1381.209961,1372.189941,1377.939941,1377.939941,2803030000,48518880000,2786735000,1211550000,1212873000,2084492000,34118767711,596005243.3,-169252326.5,228792672.8,1485412408,1947145919,603520.238,-5752568.078,-3100581.888,3527624.496,88.31707061,0.010035536,0.011364368,0.30449433,26.5550165,26.49411763,11.22147449,0.009887,0,2.924356234,1.503274547,1.945324118,66.04787929,0.005416282,0.154156581,-3.768349607,-3.288701165,-0.32055201,11.1,11.39,10.99,11.1,-0.1,-0.892857143,0.15,0.202,0.152,-0.005393939,16.2962963,-2.469135802,3.703703704,5.87654321,5.135802469,1.954358399,HOLD,0.398801902,
43,11/1/2006,1377.76001,1381.949951,1366.26001,1367.810059,1367.810059,2821160000,45697720000,-9065000,1105996000,616119000,1710257273,31855026791,-746535486.4,-244452135.3,-474471389,1067247967,1926406250,-10359778.14,-5857777.23,-7941403.618,1350473.188,78.03500343,-10.28206718,-11.64221946,-5.136015824,-2.900920004,15.66789955,12.27390271,0,10.129882,2.715473646,2.119460794,1.281209661,56.16360841,-9.884270879,-4.939427298,-2.872245687,-4.478449056,-1.267624158,10.93,11.68,10.89,11.51,0.41,3.693693694,0.155,0.203,0.22,0.056606061,30.48433048,14.18803419,5.859449193,6.231718898,6.837606838,3.084405307,HOLD,-0.472557913,
44,11/2/2006,1367.439941,1368.390015,1362.209961,1367.339966,1367.339966,2646180000,43051540000,-2733670000,-1081409000,19413000,1165803697,33601985308,-258391201.8,-150207828.9,-14261480.69,727525923.1,1925496803,-10824557.84,-8562667.841,-6160370.669,-790984.8059,77.55784804,-0.477155391,-0.61146328,-5.379611288,-4.25296283,-3.057249948,12.35442543,0,0.470093,2.521511242,2.001648809,1.259717105,55.74667299,-0.416935424,-5.150603151,-4.077164094,-2.986464088,-2.0473691,11.61,11.76,11.41,11.42,-0.09,-0.781928758,0.16,0.107,0.155,0.08230303,27.92022792,-2.564102564,5.811965812,4.165242165,4.978157645,3.705085038,HOLD,-0.048050122,
45,11/3/2006,1367.310059,1371.680054,1360.97998,1364.300049,1364.300049,2419730000,40631810000,-2532955000,-2630739000,-1563542000,521085515.2,32683865588,414419398.6,-255774785.2,-184524675.5,375705565.2,1920117176,-3144536.745,-8199567.361,-7566637.521,-3048840.912,72.03077867,-5.527069361,-7.126383082,-3.002112376,-4.93360312,-4.331173538,11.19337652,0,3.039917,2.341403297,2.075810822,1.127946377,53.00633461,-2.740338373,-1.578636898,-3.954156945,-3.637346309,-2.757552536,11.16,11.43,10.34,11.16,-0.26,-2.276707531,-0.175,0.009,0.024,0.069515152,26.71009772,-1.2101302,-1.887116382,2.867730171,2.751326287,3.921330663,HOLD,-0.194615712,
46,11/6/2006,1364.27002,1381.400024,1364.27002,1379.780029,1379.780029,2533550000,43165360000,56910000,-1001681000,-1577295000,103169515.2,34738216829,568115760.7,773145039.4,206773703.3,205794464.2,1948864008,11683602.37,6199364.685,-285289.5359,-2644418.028,87.68319861,15.65241994,21.73018288,5.062675289,2.34175162,-0.727196875,10.01299563,15.47998,0,3.279873061,1.927538621,1.701586171,62.98470836,9.978373748,3.619017688,1.772296148,-0.928361565,-2.459780271,11.39,11.41,10.99,11.16,0,0,-0.13,-0.131,-0.023,0.08030303,26.71009772,0,-0.6050651,-1.253282849,1.705337008,3.813817528,HOLD,0.717113384,
47,11/7/2006,1379.75,1388.189941,1379.189941,1382.839966,1382.839966,2636390000,45801750000,2584970000,1078418000,32188000,-56548060.61,34240246698,778190554.7,396913541.1,590667133.5,89182121.82,1954710728,17296775.58,11638860.51,7997616.007,-1957503.856,91.58071054,3.897511922,4.444992865,9.774965931,5.772100744,3.72167648,7.982379639,3.059937,0,3.264163342,1.789857291,1.823700336,64.58547717,1.600768812,5.78957128,3.649478631,2.40817729,-1.931297701,11.06,11.19,10.87,11.09,-0.07,-0.627240143,-0.035,-0.099,-0.11,0.06630303,24.42996743,-2.280130293,-1.140065147,-1.047078148,-1.331885632,3.258174889,HOLD,0.301797173,
48,11/8/2006,1382.5,1388.609985,1379.329956,1385.719971,1385.719971,2814820000,48616570000,2725605000,2659067000,1630000000,59690484.85,35301867606,281825388.5,735603592.2,495614570.6,108445948,1960573080,5854536.307,12721443.16,10474610.59,-407242.9784,95.24903894,3.668328408,4.005568844,3.782920165,7.355229273,5.493231368,5.041785073,2.880005,0,3.236723461,1.662010341,1.947474922,66.07265452,1.487177342,1.543973077,4.079972852,3.223110562,-1.070576771,11.41,11.49,10.7,10.75,-0.34,-3.065825068,-0.205,-0.13,-0.141,0.022,13.35504886,-11.07491857,-6.67752443,-4.234527687,-3.141048841,1.802324966,BUY,0.24640047,
