OBV3DaySlope,OBV4DaySlope,OBV5DaySlope,AD3DaySlope,AD4DaySlope,AD5DaySlope,SlowSto1DaySlope,VIXClose,VIX1DaySlope,VIX1DayPercentSlope,BuySell
362595000,-2896550000,-4118457000,-13252037.53,97960136.53,-835122825.5,14.7955136,45.490002,-7.129997,-13.54997555,-1
-124575000,-1304086000,-2921289000,2624170088,340443443.8,296686399.4,-4.089731873,44.669998,-0.820004,-1.802602691,-1
-7541805000,-3103100000,-2896599000,-3944440738,-615723039.2,-1058243093,-5.990673088,44.66,-0.009998,-0.022381913,-1
-8263225000,-7963024000,-4863481000,-7662811848,-5563014607,-2804344852,-4.919292969,46.349998,1.689998,3.784142409,-1
-8397385000,-8211070000,-8028321000,-7798587807,-7613051998,-6229773788,0.186431674,52.650002,6.300004,13.59224223,-1
-7725760000,-8100229000,-8075071000,-5853002566,-6735306896,-6966043327,1.143346384,50.93,-1.720002,-3.266860275,-1
45195000,-3091693000,-4886028000,-1759839165,-3682151340,-4993971302,7.145531205,47.560001,-3.369999,-6.616923228,-1
83185000,-1457696000,-3047991000,-2156421494,-2531374428,-3555737457,-6.773253156,50.169998,2.609997,5.487798455,-1
-478410000,1367456000,86566000,1107378407,2472935981,2591609209,11.33717314,32.049999,-1.39,-4.156698689,-1
1006340000,-1315898000,193842000,884047084.2,-292606298.4,1084426986,-11.09076293,32.869999,0.82,2.55850242,-1
-6511175000,-2072781000,-2594566000,-1994979255,467283457.2,-178230922.2,-1.64973444,31.799999,-1.07,-3.255248045,-1
60710000,830469000,-78359000,-809294419.9,-250379214.7,159883188.5,1.27973261,28.110001,-0.349998,-1.229789221,-1
5014480000,1944946000,1830040000,1347377991,674208049,552317362.8,1.020098437,28.15,0.039999,0.142294552,-1
-84880000,2052136000,993228000,715435066.9,347378732.4,231931857.1,-17.38026077,30.809999,2.659999,9.449374778,-1
-4824540000,-2006076000,59000000,-3874235460,-1291145160,-867655974.1,-11.52149534,32.68,1.870001,6.069461411,-1
-207905000,-1526565000,-502736000,1264154892,1688421437,2327231474,-10.23415093,26.35,1,3.944773176,-1
-5800000,-999811000,-156299000,-3038915814,-2380443811,-1038724585,-34.81697718,27.950001,1.730002,6.59802466,-1
154955000,2267490000,1081867000,2585089517,2506614144,1171759701,-5.811106677,24.27,-0.439999,-1.78065163,-1
50000,2102636000,3256374000,1260038150,1483466045,435638826.6,-2.175000758,24.76,0.08,0.324149109,-1
-5395170000,-2079916000,15130000,-505990474.6,788094340.3,1094360873,-4.883961656,26.01,1.25,5.048465267,-1
-142665000,-945523000,204604000,-1520382365,-44217797.59,385176771,-15.58293335,23.49,0.41,1.776429809,-1
-611475000,-1346317000,-2325144000,149961982.5,-264859524.9,-864802386.4,-2.331753909,25.190001,0.310002,1.245988796,-1
-388845000,-1239805000,-88080000,967593537.4,796099927.1,1676537220,-6.330841385,20.9,-0.59,-2.745463006,-1
-5506610000,-2457887000,-2335513000,-3215763896,-1117116606,-536542298.2,-9.827028671,22.219999,1.319999,6.315784689,-1
212475000,-1038161000,-2160042000,604411557.8,-814171605.5,-1166839527,-12.16752564,22.27,1.579999,7.636534189,-1
-16950000,688517000,1525979000,1260270890,1031417842,1315320646,21.23917246,17.58,-0.33,-1.842546064,-1
-42865000,-980855000,-189242000,2147572329,1128059563,1019561307,-18.27304471,18.68,1.1,6.257110353,-1
-5842425000,-2569062000,-2352323000,-3159575427,-549584421.6,-330207348.8,-32.31909999,22.27,3.59,19.21841542,-1
-6541470000,-6055479000,-3802219000,-5732285968,-4128904103,-2065800541,-37.05589035,27.309999,5.039999,22.63133812,-1
-160850000,2246830000,1134138000,473207412.5,2338706724,2436439180,-7.503143648,17.469999,0.849998,5.114307755,-1
-6551150000,-2897648000,-380262000,-5393580158,-2076294612,17205603.74,-27.46106434,22.809999,5.34,30.5666875,-1
-556115000,-2773451000,-1597016000,-1800242108,-3034790332,-1609529910,7.389978915,21.08,-1.729999,-7.584388759,-1
6200860000,2118385000,-251339000,3459803682,434330759.5,-1133559012,13.82263151,18.440001,-2.639999,-12.52371442,-1
5575000,2511979000,1019956000,-864573602,734622760,-373965547.7,-25.2473403,22.049999,3.609998,19.5769946,-1
-555105000,879934000,2259417000,-1308159290,-135295006.6,687743036.3,18.33929849,20.190001,-1.859998,-8.435365462,-1
-828335000,-1817674000,-440125000,-454605250.8,-1702739737,-789303399.2,-36.5115514,23.84,3.649999,18.07825071,-1
-6695330000,-3195255000,-3065841000,-2517824137,-956534519.9,-1621314421,-9.56561732,24.91,1.07,4.488255034,-1
-8706875000,-7882135000,-5153150000,745412245.9,-883240592.9,-387242029.4,7.227672947,32.799999,7.889999,31.67402248,-1
177410000,-1123773000,219485000,181126284.4,50507838.59,1119794621,-9.239726041,26.68,1.16,4.545454545,-1
-5498520000,-2218538000,-2287344000,-3252940797,-1014261835,-702878092.5,-14.12887838,31.24,4.56,17.09145427,-1
-123960000,-1320004000,-2269340000,-504714831.4,-636442614.1,-1364326520,-10.47976817,33.549999,2.709999,8.787285992,-1
-6468320000,-2721200000,-2652816000,-1638489796,-334215935.3,-478867422.5,-3.733523555,35.32,1.770001,5.275711037,-1
20500000,1835164000,830544000,-1257509726,230283506.3,770478071.5,-0.410981332,24.879999,0.929998,3.883081257,-1
60735000,-1455016000,-655593000,2881190729,2937217518,2908722963,5.11138933,22.139999,0.399999,1.839921803,-1
0,-759431000,-1496543000,1728678952,2247116195,2495825566,-5.593400605,22.370001,0.230002,1.038852802,-1
-4245610000,-1751494000,-1673950000,-1677809040,-142144019.6,827088466.2,-26.25505831,25.389999,3.019998,13.50021397,-1
-283140000,1393005000,2078123000,-795373101.3,-165965593.3,311423773.4,-15.6596183,26.440001,1.850001,7.523387556,-1
-4026055000,-1727409000,-128556000,-550002687.7,-340741907.3,-72680633.27,-3.329724866,25.49,-0.950001,-3.593044493,-1
-3486260000,-3755075000,-2312971000,-927257798.8,-1132838783,-799052897.6,-3.659220297,25.66,0.17,0.666928207,-1
850115000,2782456000,3545529000,3025815878,3855301811,4140176973,-2.312118393,18.290001,0.030001,0.164299014,-1
-4392635000,-1338066000,679555000,12248767.35,1331518556,2449274952,-9.237275555,19.08,0.789999,4.31929446,-1
-143370000,-1751995000,-595829000,1051933187,1124929897,1633549380,4.645104534,18.469999,-0.610001,-3.197070231,-1
315090000,-809228000,-1659692000,3548497554,1853064446,1634685166,-4.984867262,18.639999,0.17,0.920411528,-1
-4072370000,-1468144000,-1623278000,490135793.3,1910974986,1326527103,-13.74061694,20.610001,1.970002,10.56868082,-1
2682735000,1358015000,1072038000,1889491994,785724270.3,535804157.7,27.35222941,18.6,-2.100001,-10.14493188,-1
58365000,776566000,528809000,1728174111,1416744894,838482111.7,-11.92175258,19.059999,0.459999,2.473112903,-1
-4094235000,-1576774000,-552927000,-1111245037,432742568.7,656933604.9,-13.62025292,20.66,1.600001,8.394549234,-1
283345000,-1493588000,-682163000,370071784.2,-62791061.13,617049350.7,11.55997551,19.82,-0.84,-4.065827686,-1
410950000,-489707000,-1416645000,2097967415,950881915.3,468703308.1,-3.145255351,20.219999,0.399999,2.018158426,-1
-4216270000,-1541288000,-1490980000,-1390775518,115069776.4,11311989.48,-34.21241161,21.879999,1.66,8.209693779,-1
-154985000,-1135857000,-1846764000,1653023653,-118582374.2,-139941743.1,-10.83645232,21.129999,1.049999,5.229078685,-1
109070000,-667868000,155066000,427030866.4,-133716813.9,-230177224.3,-2.136425174,17.110001,0.210001,1.242609467,-1
-3794205000,-1409961000,-1421576000,-385509313.1,-83730024.52,-287308181.1,-5.619839811,17.870001,0.76,4.441846614,-1
-3530890000,-3678495000,-2127569000,-1465980669,-848047307.7,-492681783.8,-3.904532753,16.59,-1.280001,-7.162847948,-1
-3877230000,-3749078000,-3774752000,-1349724679,-1365877623,-987289730.7,-10.83975812,17.09,0.5,3.013863773,-1
-212315000,-1598629000,-2272728000,-813183027.4,-1081400338,-1181610415,0.26310279,16.92,-0.17,-0.994733762,-1
227575000,1543537000,2149916000,340718536,872445917.2,1195431786,-40.39259354,18.299999,2.849999,18.44659547,-1
-4001630000,-1416215000,9023000,-1668160951,6495136.506,472387857.1,-2.121913408,18.09,-0.209999,-1.147535582,-1
-3633600000,-3828704000,-2162736000,-886582561.2,-1668542313,-551977800.3,-16.84225904,17.950001,-0.139999,-0.773902709,-1
-3736745000,-1380624000,79563000,-1352372791,-33824909.31,704762583.3,-24.70282553,18.389999,2.439999,15.29779937,-1
-7030000,1799294000,1047216000,1272131600,2048610026,1527448660,-7.712593616,19.35,1.83,10.44520548,-1
-3771970000,-1560022000,161858000,-1021364469,179857092.1,1061600878,-5.57881425,20.23,0.88,4.547803618,-1
-3743045000,-3707599000,-2254424000,-2516008360,-1743274723,-701823597.6,-27.48695931,22.98,2.75,13.59367276,-1
-4215420000,-4079271000,-3943565000,-3608295489,-3047327940,-2355065655,-4.288151145,23.74,0.76,3.307223673,-1
-5006495000,-4542789000,-4342900000,-2332420161,-2748365564,-2661030506,-8.525568643,25.25,1.51,6.360572873,-1
-5014290000,-5000233000,-4693183000,-918326446.1,-1833543726,-2277132806,-5.426365364,23.66,-1.59,-6.297029703,-1
-5086840000,-5067200000,-5040192000,-3226006736,-2236173569,-2407036048,-29.31689308,24.790001,1.130001,4.775997464,-1
620325000,-1638651000,-2774954000,415409963.4,-646381709.4,-846367940.4,21.1254093,23.379999,-1.410002,-5.687785168,-1
1090205000,-263070000,-1474589000,919338548.5,-405291232.6,-839585282.5,-20.807301,31.66,8.280001,35.41489031,-1
-4860560000,-1408907000,-1478053000,-1411186769,543295988,-214443012.6,16.27153177,32,0.34,1.073910297,-1
-399375000,1879774000,2696659000,2218848871,1558878155,1542525960,-4.601075828,32.849998,0.979997,3.074982646,-1
243715000,2044784000,2841655000,-2564221738,-1032627052,315378125.9,-4.867788329,31.82,0.199999,0.632507886,-1
497350000,2167218000,3065096000,1647541528,2584792812,2563421404,-3.874194358,32.73,1.75,5.648805681,-1
-4284900000,-1421692000,331234000,-1591265683,-120553312.9,1093645824,0.371650942,32.860001,0.130001,0.397192178,-1
-4522080000,-4421066000,-2466872000,-4276460495,-2729810613,-1369820723,-13.28119003,37.32,4.459999,13.57272935,-1
75250000,1582996000,635998000,638861927,997108407.1,31848421.03,-5.539467724,31.129999,1.089998,3.628488561,-1
-242855000,-751687000,-29080000,-1195469272,-982291594.5,-226253069.4,-9.592006819,33.509998,2.289999,7.335038672,-1
-4340730000,-1933149000,-1708939000,-3040943001,-1809480018,-1462691318,-9.536934997,34.509998,1,2.984184004,-1
-4212030000,-4212366000,-2650100000,-1772343020,-2403961758,-1795313517,-0.22028591,32,-2.509998,-7.273248755,-1
-68915000,1494974000,2338369000,-778643127.9,-459990560.8,-189450572.1,-19.89554776,30.59,1.92,6.69689571,-1
-233880000,677997000,1471619000,-305952480.2,40490553.75,-20118962.08,15.55221269,26.379999,-4.210001,-13.76267081,-1
115020000,-837438000,-28334000,816022333.2,-262825014.7,-46238813.91,-13.97012687,25.67,-0.709999,-2.691429215,-1
317875000,-762062000,-109813000,823693710.6,-263907199.1,104218141.7,-4.530042739,17.290001,0.030001,0.173818076,-1
-125040000,1385244000,643852000,1537543557,1685866873,1910904450,-6.721475499,15.66,0.02,0.127877238,-1
-3880190000,-1638720000,-127304000,-542404724,430165139.1,898173489.1,-16.95876641,16.440001,0.780001,4.980849298,-1
-3621015000,-3713065000,-2274460000,-647613764.1,-330131042.5,247490972.4,-1.034934376,16.700001,0.26,1.58150842,-1
-3386360000,-3543677000,-3630823000,-707304554.5,-937785535.9,-629406464.2,-20.21362559,18.809999,2.109998,12.63471781,-1
2045000,-690181000,38576000,911416814.6,391589229.8,425782127.5,-7.81762056,16.879999,0.279999,1.686740964,-1
-3904385000,-1580632000,-1514557000,-350745841.8,-5228308.259,-46231657.18,-18.61771379,17.559999,0.68,4.028436258,-1
-3990025000,-3935664000,-2376069000,-2999963781,-1528496545,-905567954.9,-34.56918462,19.16,1.600001,9.111623526,-1
-70540000,-956087000,-1794313000,-1635317640,-985348386.5,-239088952.4,-5.804384858,19.889999,1.059999,5.629309612,-1
-3778595000,-1535667000,-1637656000,-2321502552,-2015562439,-1455501337,-10.91771447,21.870001,1.980002,9.954761687,-1
-3901080000,-3870181000,-2344367000,-2922207915,-2576154936,-2287310732,0.365711534,21.969999,0.099998,0.457238205,-1
-46325000,-545429000,251370000,-143663166.3,-90982706.19,325748160.3,-14.5358066,24.139999,3.109998,14.78838731,-1
59825000,1395259000,2263608000,1196028595,1363619648,1944921423,-1.54128394,17.24,-1.139999,-6.202388803,-1
-462565000,924595000,1935204000,669832956.7,1418147512,2201703434,-5.959155999,17.5,0.84,5.042016807,-1
-2893330000,-1405233000,-166237000,-654921555.4,104999949.1,792153988.5,-11.93660939,17.1,-0.4,-2.285714286,-1
59170000,1532627000,2234129000,-1520931556,-89750126.85,808945823.1,-12.18651382,16.27,0.82,5.307443366,-1
593475000,2124776000,1262247000,1324699405,2135160477,1888104230,-2.847452525,18.030001,1.33,7.964071379,-1
-3516815000,-1111592000,477631000,-2227800854,-386375593.8,724290120.4,-6.225595928,18.93,0.899999,4.991674709,-1
34420000,-647429000,-1350799000,1178883472,860498621.2,555747715.2,-2.016520002,14.07,0.19,1.368876081,-1
-4108195000,-1767761000,-1621600000,-608085447.1,-217369436.9,35791632.35,-0.091762066,13.98,-0.09,-0.639658849,-1
221460000,1553954000,2174020000,610850804.5,1113476431,1042817606,-0.803323599,14.33,-0.22,-1.512027491,-1
-2750830000,-883034000,373460000,-1012953120,28895891.43,557964613.3,-6.4785788,15.11,0.78,5.443126308,-1
-112355000,1368750000,2087983000,959325480.5,1822092719,2210115031,-4.579948998,15.03,-0.04,-0.265428003,-1
-3877600000,-1617967000,-128693000,-1802319482,-371573224.6,647237836.2,-30.98144988,17.059999,2.029999,13.50631404,-1
-524760000,892153000,250609000,-854745704.6,96311820.42,-389074129.3,-27.85357145,19.08,1.5,8.532423208,-1
216220000,1596639000,911361000,-77488450.61,1323495284,985316735.3,-10.49209506,17.360001,1.790001,11.49647399,-1
-771290000,-1255056000,-240350000,1102270873,-129652886.9,391560927,-12.9382837,17.84,0.17,0.962082626,-1
-3239060000,-1360378000,-1486526000,-907111975.2,412146274.5,-179094699.3,-3.334915623,17.84,0,0,-1
-245830000,-924160000,-123046000,-128596680.2,434559831.9,921999815.9,-14.29646638,14.68,2.37,19.25264013,-1
-4257585000,-1853935000,-1770120000,-2644522826,-862651031.5,-242528573,-7.174516417,15.22,0.54,3.678474114,-1
-427640000,-1956215000,-1120905000,1057832844,-695425530.7,-157210099.5,9.92240937,14.17,-1.05,-6.898817346,-1
-295865000,-1117967000,-1906908000,-306221010.1,-228754495.4,-968730965.5,-20.89137182,18.99,4.82,34.01552576,-1
93830000,1431698000,2063488000,1021518330,1610965994,1527540166,-4.02351822,12.06,-0.18,-1.470588235,-1
-3933210000,-1662370000,-185058000,-1787106545,-672459658.8,285164780.1,-32.48175364,17.27,5.21,43.20066335,-1
-423730000,-885406000,-112518000,-1338748768,-1181099957,-225208203.5,-16.9045179,13.82,0.45,3.365744203,-1
349660000,-1249665000,-2191801000,802238762.7,1341575222,604361148.2,6.920331637,14.48,0.49,3.502501787,-1
-64870000,-520606000,-1296734000,-527450825.4,380194818.4,880433773,-7.740702656,14.83,0.35,2.417127072,-1
-44260000,651950000,109186000,-212734431.8,-448452880.2,130311567.3,4.002678134,14.53,-0.3,-2.0229265,-1
-300490000,-906574000,-154996000,-2273388746,-1402238408,-1162882715,-15.65996698,16.299999,1.769999,12.18168617,-1
-212040000,1125998000,580526000,-724115518.4,-153168077.3,-402824705.2,-21.3819717,16.639999,0.029998,0.180602036,-1
-4201955000,-1939385000,-471578000,-3732346922,-1966071451,-1171454513,-37.16485574,20.49,3.850001,23.13702663,-1
303665000,1628413000,798202000,1899481372,2465459789,1406213393,-1.694139219,11.84,-0.14,-1.168614357,-1
-2835255000,-1013094000,308991000,-214158741,878727029.8,1596297422,-6.542128193,12.72,0.88,7.432432432,-1
-3075720000,-2918343000,-1675873000,-312099985.5,-97625190.71,592120806.4,-4.325671082,12.98,0.26,2.044025157,-1
130715000,-1164957000,-1696960000,1120437550,391712487.4,300091526.3,4.39931842,12.73,-0.25,-1.926040062,-1
156995000,-481706000,-1141347000,600277450.2,677544031,339358495.8,-4.057809314,13.41,0.68,5.34171249,-1
-2873415000,-1038318000,-1065681000,415489438.1,724234121.7,734426285.1,-1.305793392,12.81,-0.6,-4.474272931,-1
123200000,-1092297000,-462605000,1653307045,960308125.9,984531685.7,3.140525135,12.31,-0.5,-3.903200625,-1
82065000,-483953000,-1091900000,-334396388.6,410993339.8,363098628.8,-5.872514954,13.04,0.73,5.930138099,-1
-3149060000,-1265911000,-1193931000,-2553581840,-1218675327,-426989195.6,-16.11762074,14.73,1.69,12.9601227,-1
124815000,1306137000,1897134000,415749938.3,1210776769,1060222162,-3.500293206,13.16,-0.43,-3.164091244,-1
-4407080000,-1821333000,-385069000,-3261772995,-1291012519,-192073812.7,-12.13978934,13.12,-0.04,-0.303951368,-1
-4100490000,-4089736000,-2471686000,-2750150013,-2719045922,-1586114629,-7.8816944,14.31,1.19,9.070121951,-1
-3197940000,-3753668000,-3862106000,-1517229731,-2348475724,-2461631093,-4.316751046,14.08,-0.23,-1.607267645,-1
-3214125000,-1271728000,-1290629000,1172367990,1781872912,1593245364,-14.85492618,17.67,1.07,6.445783133,-1
6175000,1261664000,593053000,-1449726544,-84736248.47,-228863274.5,-5.263416918,13.91,0.42,3.113417346,-1
-3294695000,-1349682000,-60737000,-2570872580,-1949159719,-872688464,-21.84219014,15.42,1.51,10.85549964,-1
78175000,-1363100000,-623175000,11107536.31,352192767.5,745326248.9,6.155823147,12.87,0.43,3.45659164,-1
3578320000,1437403000,23477000,1215045921,471611094.1,545500062.3,1.279343762,12.84,-0.03,-0.233100233,-1
-299040000,1292734000,627318000,69687464.2,548902643.3,275327184.5,-19.7948446,13.77,0.93,7.242990654,-1
-4295350000,-1962184000,-346620000,-2794381006,-1440753723,-617796540.9,-46.07113224,18.139999,4.369999,31.73564996,-1
-4331825000,-4252615000,-2711416000,-2811799353,-2440018215,-1655720957,-10.53709418,17.42,-0.719999,-3.969123703,-1
-303685000,-1972266000,-2705979000,888815732.1,-952760431.4,-1324585980,13.20451921,15.8,-1.62,-9.299655568,-1
-263095000,-1027634000,-1898705000,163949624.2,75103179.68,-881376745.2,-22.08817659,17.35,1.55,9.810126582,-1
-208255000,509994000,-257395000,-205902780.8,465804290.5,305955105.4,24.12793698,17.290001,-0.059999,-0.345815562,-1
-256090000,-988109000,-249325000,931397988.9,26682052.71,396958489.1,-14.00118088,18.41,1.119999,6.477726635,-1
271695000,1527626000,794689000,1582564418,735351936.1,416348042.2,-0.597319317,14.2,0.09,0.6378455,-1
-3206875000,-1156838000,156627000,307968743.6,608159058.3,368152523.7,-6.54997969,14.8,0.6,4.225352113,-1
38030000,1336841000,1984095000,957298234.9,1682916571,1914124950,-2.65097458,13.37,0.28,2.139037433,-1
-3319675000,-1357867000,-26694000,-1449753484,-355212982.8,566036313.5,-26.25601962,13.96,0.59,4.412864622,-1
-225065000,1312261000,596966000,-66925973.41,1016518073,509553978.6,-59.80488124,15.89,2.07,14.97829233,-1
3036625000,2976091000,1846534000,147634770.3,611246233.3,795100752.5,-1.726412301,11.84,0.32,2.777777778,-1
282285000,1350640000,1872279000,-644357375.9,-158439831.9,252659344.2,-12.7834631,12.69,0.85,7.179054054,-1
82180000,746471000,1303979000,591392791.4,86370468.14,166739549.5,0.160277143,12.56,-0.13,-1.024428684,-1
-189990000,-625350000,53354000,-704884161.5,-422801157.4,-421418056.7,-12.30949059,13.28,0.72,5.732484076,-1
132475000,602151000,47864000,-1715119261,-815342053.3,-590467420,-1.687723836,13.33,0.05,0.376506024,-1
-372375000,-833590000,-198451000,-2219969261,-2311665409,-1512965221,-61.40445201,16.950001,3.620001,27.1567967,-1
-822440000,792896000,1589446000,303085596.6,387865924.1,779652039.5,-6.828229928,12.11,0.08,0.665004156,-1
-4114945000,-1986387000,-521514000,-2039368161,-652745481.2,-277614903.6,-14.07231628,13.69,1.58,13.04706854,-1
-3314510000,-3787739000,-2477769000,-2706483017,-2420787500,-1369232601,-10.06291135,14.93,1.24,9.057706355,-1
17250000,-1322486000,-2301980000,-216095719.6,-1097677242,-1443482156,13.56571591,13.27,-1.66,-11.11855325,-1
20400000,-640180000,-1314194000,-212945719.6,-826856575.7,-1210990639,-28.22332666,15.64,2.37,17.85983421,-1
